step,inputs/demo_proportion,inputs/low_dim_state_mean,inputs/low_dim_state_min,inputs/low_dim_state_max,inputs/timeouts,QAttentionAgent_layer0/losses/total_loss,QAttentionAgent_layer0/losses/trans_loss,QAttentionAgent_layer0/losses/rot_grip_col_loss,replay0/add_count,replay0/size,replay/replay_ratio,replay/update_to_insert_ratio,monitoring/sample_time_per_item,monitoring/train_time_per_item,monitoring/memory_gb,monitoring/cpu_percent
100,1.0,0.30328601598739624,0.0,1.0,0.0,21.033491134643555,13.182726860046387,7.850765228271484,273611,273611,1600000000.0,100000000.0,0.01372760534286499,0.11225733160972595,10.382016512,43.79625
200,1.0,0.2913801968097687,0.0,1.0,0.0,19.767078399658203,12.822629928588867,6.944450378417969,273611,273611,3200000000.0,200000000.0,0.012674286961555481,0.11422164738178253,10.831433728,46.042500000000004
300,1.0,0.3676646947860718,0.0,1.0,0.0,19.356258392333984,12.104559898376465,7.251699924468994,273611,273611,4800000000.0,300000000.0,0.010515421628952026,0.11211283504962921,11.286614016000001,46.8575
400,1.0,0.3089611530303955,0.0,1.0,0.0,19.27980613708496,12.21700382232666,7.062801837921143,273611,273611,6400000000.0,400000000.0,0.013555318117141724,0.11080686748027802,11.727118336,46.52375
500,1.0,0.22888244688510895,0.0,1.0,0.0,17.315502166748047,10.313459396362305,7.0020432472229,273611,273611,8000000000.0,500000000.0,0.011527419090270996,0.11136013269424438,12.185972736,46.6425
600,1.0,0.3758013844490051,0.0,1.0,0.0,16.52318572998047,11.11656379699707,5.406620025634766,273611,273611,9600000000.0,600000000.0,0.014663249254226685,0.11774760484695435,12.647313408,45.92
700,1.0,0.3032916188240051,0.0,1.0,0.0,16.462919235229492,10.800724029541016,5.662196159362793,273611,273611,11200000000.0,700000000.0,0.011632457375526428,0.11753824353218079,13.108310016,46.06375
800,1.0,0.27194085717201233,-0.0833333358168602,1.0,0.0,14.649337768554688,10.891925811767578,3.757411479949951,273611,273611,12800000000.0,800000000.0,0.012705773115158081,0.11785711348056793,13.635149824,45.364999999999995
900,1.0,0.24826478958129883,0.0,1.0,0.0,16.07588768005371,10.555490493774414,5.52039909362793,273611,273611,14400000000.0,900000000.0,0.01193515956401825,0.12056362628936768,14.094770176,45.36875
1000,1.0,0.23410272598266602,0.0,1.0,0.0,13.534024238586426,9.089631080627441,4.444393157958984,273611,273611,16000000000.0,1000000000.0,0.012616828083992004,0.11748708784580231,14.512766976000002,45.941250000000004
